,artist,firstName,itemInSession,lastName,length,level,location,sessionId,song,userId
0,Harmonia,Ryan,0,Smith,655.77751,free,"San Jose-Sunnyvale-Santa Clara, CA",583,Sehr kosmisch,26
1,The Prodigy,Ryan,1,Smith,260.07465,free,"San Jose-Sunnyvale-Santa Clara, CA",583,The Big Gundown,26
2,Train,Ryan,2,Smith,205.45261,free,"San Jose-Sunnyvale-Santa Clara, CA",583,Marry Me,26
3,Sony Wonder,Samuel,0,Gonzalez,218.06975,free,"Houston-The Woodlands-Sugar Land, TX",597,Blackbird,61
4,Van Halen,Tegan,2,Levine,289.38404,paid,"Portland-South Portland, ME",602,Best Of Both Worlds (Remastered Album Version),80
5,Magic Sam,Tegan,3,Levine,132.04853,paid,"Portland-South Portland, ME",602,Call Me If You Need Me,80
6,Edward Sharpe & The Magnetic Zeros,Tegan,4,Levine,306.31138,paid,"Portland-South Portland, ME",602,Home,80
7,Usher featuring will.i.am,Tegan,5,Levine,395.72853,paid,"Portland-South Portland, ME",602,OMG,80
8,Helen Reddy,Tegan,7,Levine,176.50893,paid,"Portland-South Portland, ME",602,Candle On The Water,80
9,Taylor Swift,Tegan,8,Levine,201.06404,paid,"Portland-South Portland, ME",602,Our Song,80
10,Sean Paul,Tegan,9,Levine,245.34159,paid,"Portland-South Portland, ME",602,Baby Boy [feat. Beyonce],80
11,Soundgarden,Lily,0,Koch,272.19546,paid,"Chicago-Naperville-Elgin, IL-IN-WI",582,Black Hole Sun,15
12,The Killers,Tegan,10,Levine,360.75057,paid,"Portland-South Portland, ME",602,Human,80
13,Amy Winehouse,Lily,1,Koch,165.11955,paid,"Chicago-Naperville-Elgin, IL-IN-WI",582,Addicted,15
14,Steve Anderson,Lily,2,Koch,265.06404,paid,"Chicago-Naperville-Elgin, IL-IN-WI",582,Air,15
15,Rob Zombie,Lily,3,Koch,220.13342,paid,"Chicago-Naperville-Elgin, IL-IN-WI",582,Superbeast,15
16,Deadmau5 & Kaskade,Lily,4,Koch,595.56526,paid,"Chicago-Naperville-Elgin, IL-IN-WI",582,I Remember,15
17,Shania Twain,Ryan,0,Smith,213.7073,free,"San Jose-Sunnyvale-Santa Clara, CA",607,Don't Be Stupid (You Know I Love You),26
18,Los Campesinos,Ryan,1,Smith,138.10893,free,"San Jose-Sunnyvale-Santa Clara, CA",607,We throw parties_ you throw knives,26
19,Ill Nino,Chloe,1,Cuevas,188.9171,paid,"San Francisco-Oakland-Hayward, CA",606,How Can I Live (Spanish version) (Album Version),49
20,Mia X,Chloe,2,Cuevas,236.09424,paid,"San Francisco-Oakland-Hayward, CA",606,Thugs Like Me,49
21,Rage Against The Machine,Chloe,3,Cuevas,314.40934,paid,"San Francisco-Oakland-Hayward, CA",606,Killing In The Name,49
